keypoints,calibrated_keypoints,id,is_bad
"[array([132.64177033, 222.2390468 ]) array([263.23617056, 204.56900875])
 array([135.1326826, 283.8646436]) array([265.57720715, 260.18050693])
 array([130.59514326, 317.83972167]) array([439.7898715 , 254.79150175])
 array([ 19.19012996, 304.91573234]) array([336.29450111, 247.34073416])
 array([116.01884631, 418.81325941]) array([776.07615122, 242.34899479])
 None array([480.17584655, 221.21694352]) None
 array([616.6792518 , 196.43272727]) None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None
 array([618.46639803, 315.73950021]) array([414.60400992, 338.98744591])
 array([633.62629581, 280.43251995]) array([636.82424776, 309.38045264])
 array([590.30190836, 323.15072911]) array([415.28387559, 294.16779674])
 array([534.30178817, 306.80382019]) None None None None None None None]","[array([132.64177033, 222.2390468 ]) array([263.23617056, 204.56900875])
 array([135.1326826, 283.8646436]) array([265.57720715, 260.18050693])
 array([130.59514326, 317.83972167]) array([439.7898715 , 254.79150175])
 array([ 19.19012996, 304.91573234]) array([336.29450111, 247.34073416])
 array([116.01884631, 418.81325941]) array([776.07615122, 242.34899479])
 None array([480.17584655, 221.21694352]) None
 array([616.6792518 , 196.43272727]) None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None
 array([618.46639803, 315.73950021]) array([414.60400992, 338.98744591])
 array([633.62629581, 280.43251995]) array([636.82424776, 309.38045264])
 array([590.30190836, 323.15072911]) array([415.28387559, 294.16779674])
 array([534.30178817, 306.80382019]) None None None None None None None]",10,False
"[array([265.08090794, 220.17636618]) array([298.82655366, 174.21990268])
 array([268.69426103, 264.61810236]) array([302.07857655, 214.66352314])
 array([355.31001107, 312.53501738]) array([413.51992232, 187.80228301])
 array([238.36889683, 309.99542355]) array([321.95693801, 184.91856158])
 array([581.58222056, 437.3350047 ]) array([609.09054447, 136.38951565])
 array([163.96138535, 421.33501127]) array([358.08331954, 130.86089528])
 None array([392.3491079 ,  79.58732528]) None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None None
 array([670.40830924, 251.18267906]) array([593.64561663, 305.35951098])
 array([602.98110633, 203.2277518 ]) array([667.74715731, 239.25660068])
 array([668.47276334, 263.87411156]) array([492.99655606, 245.9266267 ])
 array([599.13121982, 249.07100321]) None None None None None None None]","[array([265.08090794, 220.17636618]) array([298.82655366, 174.21990268])
 array([268.69426103, 264.61810236]) array([302.07857655, 214.66352314])
 array([355.31001107, 312.53501738]) array([413.51992232, 187.80228301])
 array([238.36889683, 309.99542355]) array([321.95693801, 184.91856158])
 array([581.58222056, 437.3350047 ]) array([609.09054447, 136.38951565])
 array([163.96138535, 421.33501127]) array([358.08331954, 130.86089528])
 None array([392.3491079 ,  79.58732528]) None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None None
 array([670.40830924, 251.18267906]) array([593.64561663, 305.35951098])
 array([602.98110633, 203.2277518 ]) array([667.74715731, 239.25660068])
 array([668.47276334, 263.87411156]) array([492.99655606, 245.9266267 ])
 array([599.13121982, 249.07100321]) None None None None None None None]",11,False
"[None None None None None None None None None None None None None None
 None None array([806.92870718, 438.09429092]) None None
 array([351.5665225 , 208.47428156]) array([777.61953734, 316.06846483])
 array([401.97497337, 249.28833684]) array([908.76365103, 297.75069194])
 array([520.01427418, 235.46367155]) array([615.91999054, 182.77674896])
 array([770.57962933, 201.71802055]) array([615.91999054, 250.83007898])
 array([769.56866643, 275.44830033]) None
 array([168.44248777, 179.13339726]) None None None None None None None
 None None None None None None None None None None None None None
 array([177.21478156, 328.5446451 ]) array([435.46918967, 350.89519303])
 array([157.68859088, 285.68696311]) array([151.41127924, 319.83868259])
 array([214.86124034, 335.81496972]) array([433.83362191, 295.85465189])
 array([284.8828683, 314.8290932])]","[None None None None None None None None None None None None None None
 None None array([806.92870718, 438.09429092]) None None
 array([351.5665225 , 208.47428156]) array([777.61953734, 316.06846483])
 None array([908.76365103, 297.75069194])
 array([520.01427418, 235.46367155]) array([615.91999054, 182.77674896])
 array([770.57962933, 201.71802055]) array([615.91999054, 250.83007898])
 array([769.56866643, 275.44830033]) None
 array([168.44248777, 179.13339726]) None None None None None None None
 None None None None None None None None None None None None None
 array([177.21478156, 328.5446451 ]) array([435.46918967, 350.89519303])
 array([157.68859088, 285.68696311]) array([151.41127924, 319.83868259])
 array([214.86124034, 335.81496972]) array([433.83362191, 295.85465189])
 array([284.8828683, 314.8290932])]",12,False
"[None None None None None None None None None None None None None None
 None None array([396.99988614, 451.99045902])
 array([278.51516332,  83.63210493]) array([896.40857841, 419.92380467])
 array([589.71069111,  73.09211349]) array([638.74292572, 295.17453202])
 array([534.78960618, 143.40601331]) array([780.73373654, 289.11201008])
 array([647.86701724, 138.85864719]) array([682.50497813, 123.26000328])
 array([735.79583318, 179.073777  ]) array([678.55057966, 173.5573924 ])
 array([731.58036409, 233.52653655]) None
 array([531.75263595,   7.54979604]) None None None None None None None
 None None None None None None None None None None None None None
 array([235.02437554, 228.81620822]) array([345.70889549, 292.53137902])
 array([305.10322585, 166.29200165]) array([236.15798808, 214.2275615 ])
 array([242.23940206, 243.95268795]) array([454.17643253, 217.11054437])
 array([323.69521774, 224.07999408])]","[None None None None None None None None None None None None None None
 None None array([396.99988614, 451.99045902])
 array([278.51516332,  83.63210493]) array([896.40857841, 419.92380467])
 array([589.71069111,  73.09211349]) array([638.74292572, 295.17453202])
 array([534.78960618, 143.40601331]) array([780.73373654, 289.11201008])
 array([647.86701724, 138.85864719]) array([682.50497813, 123.26000328])
 array([735.79583318, 179.073777  ]) array([678.55057966, 173.5573924 ])
 array([731.58036409, 233.52653655]) None
 array([531.75263595,   7.54979604]) None None None None None None None
 None None None None None None None None None None None None None
 array([235.02437554, 228.81620822]) array([345.70889549, 292.53137902])
 array([305.10322585, 166.29200165]) array([236.15798808, 214.2275615 ])
 array([242.23940206, 243.95268795]) array([454.17643253, 217.11054437])
 array([323.69521774, 224.07999408])]",13,False
"[None None None None None None None None None None None None None None
 None array([84.28417152, 58.97781106]) None
 array([637.36949664,  63.44405852]) None
 array([859.63403491,  54.60349001]) None
 array([885.88058473,  78.86430861]) None
 array([956.89192213,  73.74334811]) None None None None None
 array([753.30684626,  33.67883947]) array([296.23931171, 139.97546242])
 None array([314.92521718, 159.69267252]) None
 array([232.49467302, 125.47506443]) None
 array([274.4600744 , 184.98553981]) None
 array([312.04247868, 147.85574019]) None
 array([ 90.94808354, 123.68831939]) array([100.51953773, 216.63277359])
 array([ 94.57216002, 162.30658307]) None None None None None None None
 array([760.86227207, 118.03178832]) array([908.93450309, 141.37563284])
 array([740.2986421 ,  92.98184932]) array([735.26798577, 114.62817985])
 array([781.40986519, 123.71595277]) array([906.59061101, 108.34818026])
 array([820.79520174, 114.04926162])]","[None None None None None None None None None None None None None None
 None array([84.28417152, 58.97781106]) None
 array([637.36949664,  63.44405852]) None None None
 array([885.88058473,  78.86430861]) None
 array([956.89192213,  73.74334811]) None None None None None
 array([753.30684626,  33.67883947]) array([296.23931171, 139.97546242])
 None array([314.92521718, 159.69267252]) None None None
 array([274.4600744 , 184.98553981]) None
 array([312.04247868, 147.85574019]) None
 array([ 90.94808354, 123.68831939]) array([100.51953773, 216.63277359])
 array([ 94.57216002, 162.30658307]) None None None None None None None
 array([760.86227207, 118.03178832]) array([908.93450309, 141.37563284])
 array([740.2986421 ,  92.98184932]) array([735.26798577, 114.62817985])
 None array([906.59061101, 108.34818026])
 array([820.79520174, 114.04926162])]",14,False
"[None None None None None None None None None None None None None None
 None None array([877.12124497, 464.02048092])
 array([ 16.08044919, 256.65946532]) None
 array([403.23532434, 223.95139043]) array([844.94286458, 337.18576997])
 array([453.61431805, 264.89032019]) None
 array([575.95622643, 253.17390967]) array([674.84189828, 199.42296212])
 array([835.52247047, 218.62031214]) array([672.32483036, 269.47844114])
 array([835.52247047, 297.08972687]) None
 array([225.32299142, 193.85053692]) None None None None None None None
 None None None None None None None None None None None None None
 array([225.43990127, 346.5851107 ]) array([484.85820932, 369.55334085])
 array([209.15893691, 303.1577863 ]) array([207.08736178, 338.7969654 ])
 array([261.74450172, 353.35222987]) array([485.78313713, 314.03849749])
 array([335.34964946, 332.84482646])]","[None None None None None None None None None None None None None None
 None None array([877.12124497, 464.02048092]) None None
 array([403.23532434, 223.95139043]) array([844.94286458, 337.18576997])
 None None array([575.95622643, 253.17390967])
 array([674.84189828, 199.42296212]) array([835.52247047, 218.62031214])
 array([672.32483036, 269.47844114]) array([835.52247047, 297.08972687])
 None array([225.32299142, 193.85053692]) None None None None None None
 None None None None None None None None None None None None None None
 array([225.43990127, 346.5851107 ]) array([484.85820932, 369.55334085])
 array([209.15893691, 303.1577863 ]) array([207.08736178, 338.7969654 ])
 array([261.74450172, 353.35222987]) array([485.78313713, 314.03849749])
 array([335.34964946, 332.84482646])]",15,False
"[None None None None None None None None None None None None None None
 None None array([357.80986282, 495.15802222])
 array([237.31965948, 130.20464414]) array([845.92923026, 456.14882394])
 array([544.86548977, 118.92486908]) array([595.47143534, 336.58186633])
 array([491.39440174, 187.97204509]) array([731.85911386, 328.37795482])
 array([602.08236724, 183.01396089]) array([635.85098365, 167.90568274])
 array([688.29712646, 221.70632716]) array([632.37181012, 216.94141327])
 array([684.91898205, 275.79992976]) None
 array([488.92965481,  56.27068345]) None None None None None None None
 None None None None None None None None None None None None None
 array([194.25374364, 274.47562876]) array([305.48719929, 336.67764558])
 array([264.48597793, 212.48884161]) array([195.43678021, 260.32366166])
 array([201.50839067, 289.02868192]) array([413.04390698, 261.22537149])
 array([283.25491149, 269.08558583])]","[None None None None None None None None None None None None None None
 None None array([357.80986282, 495.15802222])
 array([237.31965948, 130.20464414]) array([845.92923026, 456.14882394])
 array([544.86548977, 118.92486908]) array([595.47143534, 336.58186633])
 None array([731.85911386, 328.37795482])
 array([602.08236724, 183.01396089]) array([635.85098365, 167.90568274])
 array([688.29712646, 221.70632716]) array([632.37181012, 216.94141327])
 array([684.91898205, 275.79992976]) None
 array([488.92965481,  56.27068345]) None None None None None None None
 None None None None None None None None None None None None None
 array([194.25374364, 274.47562876]) array([305.48719929, 336.67764558])
 array([264.48597793, 212.48884161]) array([195.43678021, 260.32366166])
 array([201.50839067, 289.02868192]) array([413.04390698, 261.22537149])
 array([283.25491149, 269.08558583])]",16,False
"[None None None None None None None None None None None None None None
 None None None None None None None None None
 array([336.55168534, 127.38600119]) None None
 array([763.51501465, 204.58408216]) None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None None]","[None None None None None None None None None None None None None None
 None None None None None None None None None
 array([336.55168534, 127.38600119]) None None
 array([763.51501465, 204.58408216]) None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None None]",17,False
"[array([215.7075897 , 204.68848852]) array([339.79807898, 188.4882958 ])
 array([217.8317588 , 264.84969048]) array([341.83676713, 242.83301974])
 array([213.53494606, 296.92795109]) array([511.54895738, 238.01427763])
 array([108.53317525, 284.25528513]) array([416.58741096, 229.5612952 ])
 array([194.99529786, 394.57412705]) array([846.04667242, 227.50983631])
 None array([554.13450291, 205.14027321]) None
 array([688.21265281, 181.33515018]) None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None
 array([688.8333933 , 299.27289677]) array([484.03859235, 320.40361629])
 array([702.44980681, 264.35778633]) array([706.75858299, 292.84769719])
 array([660.26931167, 306.03132841]) array([485.70448294, 276.50313867])
 array([603.70608815, 289.73054191]) None None None None None None None]","[array([215.7075897 , 204.68848852]) array([339.79807898, 188.4882958 ])
 array([217.8317588 , 264.84969048]) array([341.83676713, 242.83301974])
 array([213.53494606, 296.92795109]) array([511.54895738, 238.01427763])
 array([108.53317525, 284.25528513]) array([416.58741096, 229.5612952 ])
 array([194.99529786, 394.57412705]) array([846.04667242, 227.50983631])
 None array([554.13450291, 205.14027321]) None
 array([688.21265281, 181.33515018]) None None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None
 array([688.8333933 , 299.27289677]) array([484.03859235, 320.40361629])
 array([702.44980681, 264.35778633]) array([706.75858299, 292.84769719])
 array([660.26931167, 306.03132841]) array([485.70448294, 276.50313867])
 array([603.70608815, 289.73054191]) None None None None None None None]",18,False
"[array([171.96916639, 200.36287722]) array([203.09999945, 155.63000676])
 array([176.73071285, 240.87092323]) array([207.3050198 , 193.71836608])
 array([262.79325073, 286.06660176]) array([314.42001356, 166.45000009])
 array([146.93908017, 286.81641808]) array([225.45705163, 165.72379144])
 array([478.47896595, 393.41378734]) array([496.17716944, 114.14999793])
 array([ 76.25266375, 395.831     ]) array([258.8981433 , 114.14999817])
 None array([291.63306131,  63.66528579]) None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None None
 array([557.78509111, 219.16199057]) array([489.26647888, 271.61370674])
 array([493.55528658, 175.37446204]) array([554.00706019, 208.30442044])
 array([555.82895583, 230.48894313]) array([391.81006321, 218.5030894 ])
 array([491.61564454, 218.89930572]) None None None None None None None]","[array([171.96916639, 200.36287722]) array([203.09999945, 155.63000676])
 array([176.73071285, 240.87092323]) array([207.3050198 , 193.71836608])
 array([262.79325073, 286.06660176]) array([314.42001356, 166.45000009])
 array([146.93908017, 286.81641808]) array([225.45705163, 165.72379144])
 array([478.47896595, 393.41378734]) array([496.17716944, 114.14999793])
 array([ 76.25266375, 395.831     ]) array([258.8981433 , 114.14999817])
 None array([291.63306131,  63.66528579]) None None None None None None
 None None None None None None None None None None None None None None
 None None None None None None None None None
 array([557.78509111, 219.16199057]) array([489.26647888, 271.61370674])
 array([493.55528658, 175.37446204]) None
 array([555.82895583, 230.48894313]) None
 array([491.61564454, 218.89930572]) None None None None None None None]",19,False
"[None None None None None None None None None None None None None None
 None array([264.74454395,  48.3508669 ]) None
 array([840.90324379,  63.51736813]) None None None None None None None
 None None None None None array([470.23657912, 138.47256245])
 array([ 54.55188071, 149.36487452]) array([491.12065552, 158.37786972])
 array([ 34.09508164, 177.45497811]) array([407.30106344, 120.06759883])
 array([123.73201252, 129.83421769]) array([449.9037973 , 184.10111421])
 array([ 84.68924959, 200.88795436]) array([487.92735967, 145.7122837 ])
 array([ 36.1041037 , 163.54810206]) array([268.70441428, 116.04337445])
 array([274.17900618, 209.62948281]) array([270.70647695, 154.28712387])
 None None None None None None None None None None
 array([955.77244746, 119.37587536]) None None None]","[None None None None None None None None None None None None None None
 None array([264.74454395,  48.3508669 ]) None None None None None None
 None None None None None None None None
 array([470.23657912, 138.47256245]) array([ 54.55188071, 149.36487452])
 array([491.12065552, 158.37786972]) array([ 34.09508164, 177.45497811])
 array([407.30106344, 120.06759883]) array([123.73201252, 129.83421769])
 array([449.9037973 , 184.10111421]) array([ 84.68924959, 200.88795436])
 array([487.92735967, 145.7122837 ]) array([ 36.1041037 , 163.54810206])
 array([268.70441428, 116.04337445]) array([274.17900618, 209.62948281])
 array([270.70647695, 154.28712387]) None None None None None None None
 None None None array([955.77244746, 119.37587536]) None None None]",20,False
